Vivado Simulator 2018.3
Time resolution is 1 ps
At time                  418, a = 1001101000101000, b = 1001011001000000, cin = 0, s = 0011000001101000, cout = 1
At time                  420, a = 1001101000101000, b = 1001101000101000, cin = 0, s = 0011010001010000, cout = 1
At time                  422, a = 1001111000010000, b = 1001101000101000, cin = 0, s = 0011100000111000, cout = 1
At time                  424, a = 1001111000010000, b = 1001111000010000, cin = 0, s = 0011110000100000, cout = 1
At time                  426, a = 1010000111111000, b = 1001111000010000, cin = 0, s = 0100000000001000, cout = 1
At time                  428, a = 1010000111111000, b = 1010000111111000, cin = 0, s = 0100001111110000, cout = 1
At time                  430, a = 1010010111100000, b = 1010000111111000, cin = 0, s = 0100011111011000, cout = 1
At time                  432, a = 1010010111100000, b = 1010010111100000, cin = 0, s = 0100101111000000, cout = 1
At time                  434, a = 1010100111001000, b = 1010010111100000, cin = 0, s = 0100111110101000, cout = 1
At time                  436, a = 1010100111001000, b = 1010100111001000, cin = 0, s = 0101001110010000, cout = 1
At time                  438, a = 1010110110110000, b = 1010100111001000, cin = 0, s = 0101011101111000, cout = 1
At time                  440, a = 1010110110110000, b = 1010110110110000, cin = 0, s = 0101101101100000, cout = 1
At time                  442, a = 1011000110011000, b = 1010110110110000, cin = 0, s = 0101111101001000, cout = 1
At time                  444, a = 1011000110011000, b = 1011000110011000, cin = 0, s = 0110001100110000, cout = 1
At time                  446, a = 1011010110000000, b = 1011000110011000, cin = 0, s = 0110011100011000, cout = 1
At time                  448, a = 1011010110000000, b = 1011010110000000, cin = 0, s = 0110101100000000, cout = 1
At time                  450, a = 1011100101101000, b = 1011010110000000, cin = 0, s = 0110111011101000, cout = 1
At time                  452, a = 1011100101101000, b = 1011100101101000, cin = 0, s = 0111001011010000, cout = 1
At time                  454, a = 1011110101010000, b = 1011100101101000, cin = 0, s = 0111011010111000, cout = 1
At time                  456, a = 1011110101010000, b = 1011110101010000, cin = 0, s = 0111101010100000, cout = 1
At time                  458, a = 1100000100111000, b = 1011110101010000, cin = 0, s = 0111111010001000, cout = 1
At time                  460, a = 1100000100111000, b = 1100000100111000, cin = 0, s = 1000001001110000, cout = 1
At time                  462, a = 1100010100100000, b = 1100000100111000, cin = 0, s = 1000011001011000, cout = 1
At time                  464, a = 1100010100100000, b = 1100010100100000, cin = 0, s = 1000101001000000, cout = 1
At time                  466, a = 1100100100001000, b = 1100010100100000, cin = 0, s = 1000111000101000, cout = 1
At time                  468, a = 1100100100001000, b = 1100100100001000, cin = 0, s = 1001001000010000, cout = 1
At time                  470, a = 1100110011110000, b = 1100100100001000, cin = 0, s = 1001010111111000, cout = 1
At time                  472, a = 1100110011110000, b = 1100110011110000, cin = 0, s = 1001100111100000, cout = 1
At time                  474, a = 1101000011011000, b = 1100110011110000, cin = 0, s = 1001110111001000, cout = 1
At time                  476, a = 1101000011011000, b = 1101000011011000, cin = 0, s = 1010000110110000, cout = 1
At time                  478, a = 1101010011000000, b = 1101000011011000, cin = 0, s = 1010010110011000, cout = 1
At time                  480, a = 1101010011000000, b = 1101010011000000, cin = 0, s = 1010100110000000, cout = 1
At time                  482, a = 1101100010101000, b = 1101010011000000, cin = 0, s = 1010110101101000, cout = 1
At time                  484, a = 1101100010101000, b = 1101100010101000, cin = 0, s = 1011000101010000, cout = 1
At time                  486, a = 1101110010010000, b = 1101100010101000, cin = 0, s = 1011010100111000, cout = 1
At time                  488, a = 1101110010010000, b = 1101110010010000, cin = 0, s = 1011100100100000, cout = 1
At time                  490, a = 1110000001111000, b = 1101110010010000, cin = 0, s = 1011110100001000, cout = 1
At time                  492, a = 1110000001111000, b = 1110000001111000, cin = 0, s = 1100000011110000, cout = 1
At time                  494, a = 1110010001100000, b = 1110000001111000, cin = 0, s = 1100010011011000, cout = 1
At time                  496, a = 1110010001100000, b = 1110010001100000, cin = 0, s = 1100100011000000, cout = 1
At time                  498, a = 1110100001001000, b = 1110010001100000, cin = 0, s = 1100110010101000, cout = 1
At time                  500, a = 1110100001001000, b = 1110100001001000, cin = 0, s = 1101000010010000, cout = 1
At time                  502, a = 1110110000110000, b = 1110100001001000, cin = 0, s = 1101010001111000, cout = 1
At time                  504, a = 1110110000110000, b = 1110110000110000, cin = 0, s = 1101100001100000, cout = 1
At time                  506, a = 1111000000011000, b = 1110110000110000, cin = 0, s = 1101110001001000, cout = 1
At time                  508, a = 1111000000011000, b = 1111000000011000, cin = 0, s = 1110000000110000, cout = 1
At time                  510, a = 1111010000000000, b = 1111000000011000, cin = 0, s = 1110010000011000, cout = 1
At time                  512, a = 1111010000000000, b = 1111010000000000, cin = 0, s = 1110100000000000, cout = 1
At time                  514, a = 1111011111101000, b = 1111010000000000, cin = 0, s = 1110101111101000, cout = 1
At time                  516, a = 1111011111101000, b = 1111011111101000, cin = 0, s = 1110111111010000, cout = 1
At time                  518, a = 1111101111010000, b = 1111011111101000, cin = 0, s = 1111001110111000, cout = 1
At time                  520, a = 1111101111010000, b = 1111101111010000, cin = 0, s = 1111011110100000, cout = 1
At time                  522, a = 1111111110111000, b = 1111101111010000, cin = 0, s = 1111101110001000, cout = 1
At time                  524, a = 1111111110111000, b = 1111111110111000, cin = 0, s = 1111111101110000, cout = 1
At time                  526, a = 0000001110100000, b = 1111111110111000, cin = 0, s = 0000001101011000, cout = 1
At time                  528, a = 0000001110100000, b = 0000001110100000, cin = 0, s = 0000011101000000, cout = 0
At time                  530, a = 0000011110001000, b = 0000001110100000, cin = 0, s = 0000101100101000, cout = 0
At time                  532, a = 0000011110001000, b = 0000011110001000, cin = 0, s = 0000111100010000, cout = 0
At time                  534, a = 0000101101110000, b = 0000011110001000, cin = 0, s = 0001001011111000, cout = 0
At time                  536, a = 0000101101110000, b = 0000101101110000, cin = 0, s = 0001011011100000, cout = 0
At time                  538, a = 0000111101011000, b = 0000101101110000, cin = 0, s = 0001101011001000, cout = 0
At time                  540, a = 0000111101011000, b = 0000111101011000, cin = 0, s = 0001111010110000, cout = 0
At time                  542, a = 0001001101000000, b = 0000111101011000, cin = 0, s = 0010001010011000, cout = 0
At time                  544, a = 0001001101000000, b = 0001001101000000, cin = 0, s = 0010011010000000, cout = 0
